2023-03-31 17:51:46,879 - INFO  OutFile : 7.即将尝试从/home/ljy/LJY/code-dir/Home_care/Service/OrderInfo/Out/tmpfile.txt导出文件到/home/ljy/LJY/code-dir/Home_care/Kernel/tmp/tmpfile.txt
2023-03-31 17:51:46,879 - INFO  OutFile : 7.导出成功
2023-03-31 17:51:46,879 - INFO  ClearInFile : 8.删除/home/ljy/LJY/code-dir/Home_care/Service/OrderInfo/In/tmpfile.txt
2023-03-31 17:51:46,886 - INFO  ClearOutFile : 8.删除/home/ljy/LJY/code-dir/Home_care/Service/OrderInfo/Out/tmpfile.txt
2023-03-31 17:51:46,886 - INFO  Start_Work : Kernel:进入输出模块
2023-03-31 17:51:46,886 - INFO  OutInfo : -----进入UserOutInfo OutInfo部分-----
2023-03-31 17:51:46,887 - INFO  SetFile : 1.即将检验传入的文件是否可以打开:/home/ljy/LJY/code-dir/Home_care/Kernel/tmp/tmpfile.txt
2023-03-31 17:51:46,887 - INFO  SetFile : 1.传入文件可以打开
2023-03-31 17:51:46,887 - INFO  SetFile : 1.导入后文件路径为/home/ljy/LJY/code-dir/Home_care/User/User_OutInfo/In/tmpfile.txt
2023-03-31 17:51:46,887 - INFO  SetFile : 1.导入成功
2023-03-31 17:51:46,887 - INFO  InfoInit : 2.初始化的info内容为吃饭请求测试
2023-03-31 17:51:46,887 - INFO  ParameterInvaild : 3.即将校验的Info为['吃饭请求测试']
2023-03-31 17:51:46,887 - INFO  ParameterInvaild : 3.参数校验一切正常
2023-03-31 17:51:46,887 - INFO  User_OutInfo : 4.打印到终端的内容为['吃饭请求测试']
2023-03-31 17:51:46,887 - INFO  ClearInFile : 5.删除/home/ljy/LJY/code-dir/Home_care/User/User_OutInfo/In/tmpfile.txt
